CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-22-02,SX,Azuklotz,2012,"4,300",1.00,"4,300",1.00,"4,300",2.00,"8,600","3,642",28.7%,"12,242","4,078",32.2%,"12,678",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2013,400,1.00,400,1.00,400,2.00,800,146,14.8%,946,185,18.8%,985,2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2014,"2,291",1.00,"2,291",1.00,"2,291",2.00,"4,582","1,215",18.1%,"5,797","2,111",31.5%,"6,694",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2015,757,1.00,757,1.00,757,2.00,"1,514",178,9.6%,"1,692",341,18.4%,"1,856",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2016,"1,550",1.00,"1,550",1.00,"1,550",2.00,"3,100",871,19.0%,"3,971","1,476",32.3%,"4,576",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2017,"6,893",1.00,"6,893",1.00,"6,893",2.00,"13,786",962,6.4%,"14,748","1,271",8.4%,"15,057",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2018,"3,992",1.00,"3,992",1.00,"3,992",2.00,"7,984","1,008",11.1%,"8,992","1,100",12.1%,"9,084",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,2019,"1,960",1.00,"1,960",1.00,"1,960",2.00,"3,920",509,10.6%,"4,428",873,18.2%,"4,793",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1954,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1955,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1956,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1957,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1958,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1959,,,,,,,,,,,,,,,,,,,,04
SX_L-22-03,SX,Bear,1960,200,1.45,289,1.38,400,2.00,800,704,41.0%,"1,504",916,53.4%,"1,716",1.50,3.46,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1961,756,1.00,756,1.38,"1,045",2.00,"2,090","2,049",48.6%,"4,139","2,126",50.4%,"4,216",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1962,500,1.45,724,1.38,"1,000",2.00,"2,000","2,147",48.2%,"4,147","2,455",55.1%,"4,455",1.50,3.46,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1963,700,1.00,700,1.38,967,2.00,"1,935",738,25.2%,"2,673",989,33.8%,"2,924",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
