"","Year","Species Name","Escapement","CDN Harvest","Total Harvest","TRTC","Total Run","SEAK Harvest","SEAK ER","CDN ER","Total ER"
"134",1982,"Chum",35240.3110706914,17652.1237434976,25904.5138678834,52892.434814189,61144.8249385749,8252.3901243858,0.134964653716419,0.28869366722745,0.423658320943868
"135",1983,"Chum",73632.2728036739,59908.4993373906,96994.2176669807,133540.772141065,170626.490470655,37085.7183295901,0.217350296705354,0.351109016965299,0.568459313670653
"136",1984,"Chum",102292.126845067,108934.483260789,149032.808461938,211226.610105856,251324.935307006,40098.325201149,0.159547739073988,0.433440808918224,0.592988547992212
"137",1985,"Chum",84286.3795542313,37586.6044633733,59507.0104402507,121872.984017605,143793.389994482,21920.4059768774,0.152443766557827,0.261393131247658,0.413836897805485
"138",1986,"Chum",55384.4735917707,30839.8437011781,54830.6416740247,86224.3172929488,110215.115265795,23990.7979728466,0.217672484531639,0.279815011097204,0.497487495628844
"139",1987,"Chum",54101.1291466123,34633.7786287521,43249.4902493598,88734.9077753644,97350.6193959721,8615.7116206077,0.0885018675183095,0.355763310430309,0.444265177948619
"140",1988,"Chum",82663.5721914298,24272.8586060785,36616.7258298432,106936.430797508,119280.298021273,12343.8672237647,0.103486220511985,0.203494282029288,0.306980502541273
"141",1989,"Chum",60137.6481718422,33030.9714115716,67291.0604239968,93168.6195834138,127428.708595839,34260.0890124252,0.26885691136592,0.259211380037875,0.528068291403795
"142",1990,"Chum",54621.4280614524,25092.9873181511,44616.03254576,79714.4153796035,99237.4606072124,19523.0452276089,0.196730600603357,0.252858015154888,0.449588615758245
"143",1991,"Chum",67995.9323386196,48877.3215816151,91336.0202634225,116873.253920235,159331.952602042,42458.6986818074,0.266479497604947,0.306764090839295,0.573243588444242
"144",1992,"Chum",33043.6879053445,29004.9607929565,41263.0259487837,62048.648698301,74306.7138541282,12258.0651558272,0.16496578196004,0.390341051145072,0.555306833105112
"145",1993,"Chum",142222.825484194,196450.083441991,325060.949789842,338672.908926185,467283.775274036,128610.866347851,0.275230755171048,0.420408526546388,0.695639281717436
"146",1994,"Chum",70656.6583375691,27746.5996202615,47975.9472211155,98403.2579578306,118632.605558685,20229.347600854,0.170520975288256,0.233886792670467,0.404407767958724
"147",1995,"Chum",70805.5125192058,45553.6404806806,70996.7567037742,116359.152999886,141802.26922298,25443.1162230936,0.179426721183742,0.321247612822393,0.500674334006135
"148",1996,"Chum",39809.0308663114,22408.7016450634,36715.8511213609,62217.7325113748,76524.8819876723,14307.1494762975,0.186960751910762,0.292828960502981,0.479789712413743
"149",1997,"Chum",38014.1036502749,9170.79636402213,16748.9468848153,47184.9000142971,54763.0505350903,7578.15052079317,0.138380722891566,0.167463212410817,0.305843935302383
"150",1998,"Chum",246177.725629378,43319.7504310608,96259.6009255058,289497.476060439,342437.326554884,52939.850494445,0.154597196009706,0.126504171922151,0.281101367931857
"151",1999,"Chum",60140.1946547775,50511.7985376002,68666.5258584709,110651.993192378,128806.720513248,18154.7273208707,0.140945497630331,0.392151887233283,0.533097384863614
"152",2000,"Chum",39338.2237248351,13841.6276953069,21191.8200420232,53179.8514201421,60530.0437668583,7350.1923467163,0.121430481283424,0.228673677300156,0.35010415858358
"153",2001,"Chum",54621.6517743217,7006.30194913351,18787.9566771294,61627.9537234552,73409.6084514511,11781.6547279959,0.160491997934952,0.0954412112655127,0.255933209200464
"154",2002,"Chum",34992.1559599778,6781.02082924004,12349.3490248892,41773.1767892178,47341.504984867,5568.32819564916,0.117620430474889,0.143236275048874,0.260856705523763
"155",2003,"Chum",78765.2336877653,12167.5323045952,27728.7215611523,90932.7659923605,106493.955248918,15561.1892565571,0.146122746781116,0.114255614566619,0.260378361347735
"156",2004,"Chum",99467.6270058202,11774.0721166078,30868.2829208675,111241.699122428,130335.909926688,19094.2108042597,0.146499999999999,0.0903363633493681,0.236836363349367
