"","year","Stock","type","fish"
"183",1987,"Nass","TE",210166
"184",1987,"Nass","Total Run",562867
"185",1988,"Nass","TE",155793
"186",1988,"Nass","Total Run",401140
"187",1989,"Nass","TE",127418
"188",1989,"Nass","Total Run",586686
"189",1990,"Nass","TE",177461
"190",1990,"Nass","Total Run",459623
"191",1991,"Nass","TE",308716
"192",1991,"Nass","Total Run",958994
"193",1992,"Nass","TE",672844
"194",1992,"Nass","Total Run",1960084
"195",1993,"Nass","TE",538263
"196",1993,"Nass","Total Run",2150584
"197",1994,"Nass","TE",310044
"198",1994,"Nass","Total Run",837138
"199",1995,"Nass","TE",264689
"200",1995,"Nass","Total Run",1168730
"201",1996,"Nass","TE",217909
"202",1996,"Nass","Total Run",1054397
"203",1997,"Nass","TE",250460
"204",1997,"Nass","Total Run",994761
"205",1998,"Nass","TE",266463
"206",1998,"Nass","Total Run",711783
"207",1999,"Nass","TE",210959
"208",1999,"Nass","Total Run",842807
"209",2000,"Nass","TE",204408
"210",2000,"Nass","Total Run",625983
"211",2001,"Nass","TE",167258
"212",2001,"Nass","Total Run",583885
"213",2002,"Nass","TE",405474
"214",2002,"Nass","Total Run",1403976
"215",2003,"Nass","TE",263688
"216",2003,"Nass","Total Run",1174145
"217",2004,"Nass","TE",215860
"218",2004,"Nass","Total Run",983988
"219",2005,"Nass","TE",224562
"220",2005,"Nass","Total Run",666038
"221",2006,"Nass","TE",250641
"222",2006,"Nass","Total Run",764570
"223",2007,"Nass","TE",164745
"224",2007,"Nass","Total Run",601137
"225",2008,"Nass","TE",218376
"226",2008,"Nass","Total Run",380631
"227",2009,"Nass","TE",244900
"228",2009,"Nass","Total Run",574692
"229",2010,"Nass","TE",229010
"230",2010,"Nass","Total Run",437691
"231",2011,"Nass","TE",276700
"232",2011,"Nass","Total Run",555294
"233",2012,"Nass","TE",203030
"234",2012,"Nass","Total Run",471489
"235",2013,"Nass","TE",210120
"236",2013,"Nass","Total Run",501424
"237",2014,"Nass","TE",260102
"238",2014,"Nass","Total Run",549423
"239",2015,"Nass","TE",389508
"240",2015,"Nass","Total Run",869432
"241",2016,"Nass","TE",276417
"242",2016,"Nass","Total Run",442420
"243",2017,"Nass","TE",227908
"244",2017,"Nass","Total Run",362539
